Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
,59.66666667,434,434,,,179
,66.66666667,435,435,,,200
,49.66666667,436,436,,,149
,53,437,437,,,159
,51.66666667,438,438,,,155
,58,439,439,,,174
,53.66666667,440,440,,,161
,47,441,441,,,141
,50,442,442,,,150
,49.66666667,443,443,,,149
,48.66666667,444,444,,,146
,53.33333333,445,445,,,160
,44.33333333,446,446,,,133
,49,447,447,,,147
,49,448,448,,,147
,46.66666667,449,449,,,140
,40,450,450,,,120
,38.33333333,451,451,,,115
,42.66666667,452,452,,,128
,46.66666667,453,453,,,140
,42.33333333,454,454,,,127
,39,455,455,,,117
,50,456,456,,,150
,32.33333333,457,457,,,97
,34.66666667,458,458,,,104
,34,459,459,,,102
,34.66666667,460,460,,,104
,40.66666667,461,461,,,122
,33.66666667,462,462,,,101
,37,463,463,,,111
,34,464,464,,,102
,34.66666667,465,465,,,104
,36,466,466,,,108
,29.66666667,467,467,,,89
,34,468,468,,,102
,35.33333333,469,469,,,106
,31.66666667,470,470,,,95
,28.66666667,471,471,,,86
,30.66666667,472,472,,,92
,30.66666667,473,473,,,92
,26.33333333,474,474,,,79
,30.66666667,475,475,,,92
,27.66666667,476,476,,,83
,32.66666667,477,477,,,98
,25.33333333,478,478,,,76
,26.66666667,479,479,,,80
,28.66666667,480,480,,,86
,30.66666667,481,481,,,92
,29.33333333,482,482,,,88
,26.66666667,483,483,,,80
,31.33333333,484,484,,,94
,29.33333333,485,485,,,88
,24.33333333,486,486,,,73
,24,487,487,,,72
,30.66666667,488,488,,,92
,26.33333333,489,489,,,79
,27.66666667,490,490,,,83
,30,491,491,,,90
,27.66666667,492,492,,,83
,31,493,493,,,93
,29.66666667,494,494,,,89
,25.33333333,495,495,,,76
,25.66666667,496,496,,,77
,28.33333333,497,497,,,85
,30.33333333,498,498,,,91
,28,499,499,,,84
,27,500,500,,,81
,27.33333333,501,501,,,82
,26.33333333,502,502,,,79
,24,503,503,,,72
,25.33333333,504,504,,,76
,28.66666667,505,505,,,86
,29.33333333,506,506,,,88
,32.33333333,507,507,,,97
,30.66666667,508,508,,,92
,27,509,509,,,81
,28.66666667,510,510,,,86
,29.33333333,511,511,,,88
,29,512,512,,,87
,32.33333333,513,513,,,97
,24.66666667,514,514,,,74
,28.66666667,515,515,,,86
,31.66666667,516,516,,,95
,33.33333333,517,517,,,100
,33.66666667,518,518,,,101
,31.33333333,519,519,,,94
,28.66666667,520,520,,,86
,33.66666667,521,521,,,101
,36,522,522,,,108
,32,523,523,,,96
,31.66666667,524,524,,,95
,28.66666667,525,525,,,86
,28.33333333,526,526,,,85
,31,527,527,,,93
,29.33333333,528,528,,,88
,35.66666667,529,529,,,107
,32,530,530,,,96
,33.33333333,531,531,,,100
,37,532,532,,,111
,39.33333333,533,533,,,118
,32.33333333,534,534,,,97
,36,535,535,,,108
,44.33333333,536,536,,,133
,42.33333333,537,537,,,127
,45,538,538,,,135
,37.33333333,539,539,,,112
,46.66666667,540,540,,,140
,46.33333333,541,541,,,139
,51,542,542,,,153
,57,543,543,,,171
,62.33333333,544,544,,,187
,64.66666667,545,545,,,194
,62.66666667,546,546,,,188
,69,547,547,,,207
,70.66666667,548,548,,,212
,82,549,549,,,246
,86.33333333,550,550,,,259
,89.33333333,551,551,,,268
,106,552,552,,,318
,101.3333333,553,553,,,304
,119.3333333,554,554,,,358
,132.6666667,555,555,,,398
,146.6666667,556,556,,,440
,161,557,557,,,483
,170,558,558,,,510
,192,559,559,,,576
,215.6666667,560,560,,,647
,227.3333333,561,561,,,682
,235.6666667,562,562,,,707
,273.6666667,563,563,,,821
,284.3333333,564,564,,,853
,301.6666667,565,565,,,905
,328.3333333,566,566,,,985
,357.3333333,567,567,,,1072
,368,568,568,,,1104
,366,569,569,,,1098
,422.3333333,570,570,,,1267
,460,571,571,,,1380
,482,572,572,,,1446
,485.3333333,573,573,,,1456
,513,574,574,,,1539
,567.3333333,575,575,,,1702
,575,576,576,,,1725
,594.6666667,577,577,,,1784
,584.3333333,578,578,,,1753
,622.3333333,579,579,,,1867
,611.3333333,580,580,,,1834
,604.6666667,581,581,,,1814
,621,582,582,,,1863
,618.6666667,583,583,,,1856
,637,584,584,,,1911
,624.6666667,585,585,,,1874
