Time t / s,Events N,Channel n,Energy E / keV,Voltage U / V,Rate R / 1/s,Raw
428,0.833333333,428,428,698.4375,7.002115339,10
428.999,0.666666667,429,429,699.2135417,11.99910127,8
430,0.5,430,430,699.2135417,8.998814856,6
431,0.583333333,431,431,699.2135417,10.00115513,7
432.001,0.833333333,432,432,698.4375,8.990254564,10
433.001,0.416666667,433,433,698.8255208,5.002952242,5
434.001,0.5,434,434,699.6015625,7.001207708,6
435.001,0.25,435,435,699.6015625,14.00360733,3
436.001,0.5,436,436,699.6015625,11.98476138,6
437,0.166666667,437,437,699.6015625,7.777752716,2
438,0.583333333,438,438,699.6015625,6.660827341,7
439,0.666666667,439,439,699.6015625,8.885035745,8
440.001,0.333333333,440,440,699.6015625,7.998753794,4
441,0.75,441,441,699.6015625,6.001166627,9
442.001,0.666666667,442,442,699.9895833,7.004233359,8
443.001,0.416666667,443,443,699.6015625,11.10123348,5
444.001,0.666666667,444,444,699.6015625,8.00482611,8
445,0.333333333,445,445,698.8255208,12.99229297,4
446,0.666666667,446,446,698.4375,7.773375456,8
447.001,0.583333333,447,447,699.6015625,12.01402878,7
448,0.583333333,448,448,698.8255208,14.43682501,7
449,0.75,449,449,699.2135417,6.661984772,9
450.001,0.666666667,450,450,699.2135417,5.003168006,8
451.001,0.583333333,451,451,698.8255208,13.33285483,7
452.001,0.666666667,452,452,698.4375,8.886801478,8
453.001,0.666666667,453,453,698.8255208,6.004463117,8
454.001,0.333333333,454,454,700.765625,8.997326894,4
455.001,0.333333333,455,455,699.2135417,10.98660403,4
456,0.583333333,456,456,699.6015625,11.03144292,7
457.001,0.75,457,457,699.6015625,12.20643794,9
458.001,0.416666667,458,458,699.6015625,5.995096011,5
459.001,0.583333333,459,459,699.6015625,11.01008303,7
460.001,0.333333333,460,460,699.6015625,10.0024556,4
461,0.583333333,461,461,699.6015625,7.775106597,7
462,0.333333333,462,462,699.6015625,7.00253772,4
463.001,0.5,463,463,699.2135417,12.21163202,6
464,0.5,464,464,699.6015625,16.03163201,6
465.001,0.583333333,465,465,699.6015625,8.886918955,7
466,1.166666667,466,466,698.8255208,8.876182141,14
467,0.333333333,467,467,698.8255208,5.554540309,4
468,1.166666667,468,468,698.4375,4.004425691,14
469.001,0.833333333,469,469,698.4375,4.439513625,10
470.001,0.583333333,470,470,698.8255208,8.008252504,7
471.001,0.833333333,471,471,698.8255208,11.0946762,10
472,0.25,472,472,698.8255208,8.888316086,3
473,0.416666667,473,473,698.4375,13.01296482,5
474,0.75,474,474,699.2135417,7.773746658,9
475,0.25,475,475,699.6015625,8.882849538,3
476,0.75,476,476,699.6015625,8.996444605,9
477.001,0.583333333,477,477,699.6015625,13.98777608,7
478,0.666666667,478,478,699.6015625,3.002715355,8
479,0.5,479,479,699.2135417,6.004189123,6
480.001,1,480,480,699.6015625,11.09925094,12
481.001,0.416666667,481,481,699.6015625,9.010921237,5
482,0.5,482,482,699.2135417,6.660162648,6
483,0.916666667,483,483,699.6015625,8.887684114,11
483.999,0.333333333,484,484,699.6015625,12.01265413,4
485,0.25,485,485,698.8255208,9.999182289,3
486.001,0.333333333,486,486,699.6015625,13.31405163,4
487.001,0.416666667,487,487,698.4375,14.0037334,5
488,0.583333333,488,488,699.2135417,14.03549858,7
489.001,0.75,489,489,699.2135417,8.875949727,9
490,0.5,490,490,698.4375,7.76832459,6
491.001,0.583333333,491,491,699.6015625,11.00751153,7
492,0.416666667,492,492,698.4375,6.665305463,5
493.001,0.416666667,493,493,699.6015625,18.99402258,5
494,0.5,494,494,699.6015625,3.002189797,6
495.001,0.833333333,495,495,699.6015625,6.990126446,10
496,0.666666667,496,496,699.6015625,17.00082624,8
497.001,0.75,497,497,699.6015625,9.000067501,9
498,0.416666667,498,498,699.6015625,8.011953033,5
499,0.916666667,499,499,699.6015625,13.30068753,11
500.001,0.666666667,500,500,699.6015625,12.01374974,8
501,0.833333333,501,501,699.6015625,8.879363305,10
502.001,0.583333333,502,502,699.6015625,4.442998989,7
503.001,0.916666667,503,503,699.6015625,12.2194837,11
504,0.416666667,504,504,699.2135417,8.00485975,5
505.001,0.75,505,505,699.6015625,5.550322218,9
