Time t / s,Events N,Channel n,Energy E / keV,Rate R / 1/s,Voltage U / V,Raw
399,1,399,399,13.01005157,698.4375,6
400,1.166666667,400,400,15.54540613,698.4375,7
401,0.5,401,401,19.99797354,698.4375,3
402,0.833333333,402,402,14.99640536,698.4375,5
403.001,0.833333333,403,403,7.016282687,698.4375,5
404.001,0.833333333,404,404,8.873044589,698.4375,5
405.001,0.833333333,405,405,16.64822783,698.4375,5
406.001,1,406,406,13.00730881,698.4375,6
407,1.833333333,407,407,15.00875611,700.765625,11
408,0.833333333,408,408,16.65353628,698.4375,5
408.999,0.833333333,409,409,20.98723766,698.4375,5
410,0.5,410,410,13.02146589,698.4375,3
411,0.666666667,411,411,8.879009511,698.4375,4
412,0.833333333,412,412,14.01374188,698.4375,5
413,0.666666667,413,413,22.20308316,698.4375,4
414.001,0.833333333,414,414,7.773218353,698.4375,5
415,0.833333333,415,415,14.43431156,698.4375,5
416,0.5,416,416,18.88825508,698.4375,3
417.001,1.5,417,417,11.10202719,698.4375,9
418,1,418,418,14.02670685,698.4375,6
419,0.666666667,419,419,16.64401232,698.4375,4
420,0.166666667,420,420,20.0111342,698.4375,1
421.001,0.5,421,421,14.00705535,698.4375,3
422,0.666666667,422,422,7.770987661,698.4375,4
423.001,0.333333333,423,423,8.01307654,698.4375,2
424,0.666666667,424,424,13.99830061,698.4375,4
425,1.166666667,425,425,13.99553822,698.8255208,7
426.001,0.833333333,426,426,16.64687538,698.4375,5
427,0.666666667,427,427,7.77406523,698.4375,4
428,0.666666667,428,428,16.00441562,698.4375,4
429.001,0.5,429,429,10.00093109,698.4375,3
430.001,0.5,430,430,12.00764887,698.4375,3
431.001,1.333333333,431,431,7.769154879,698.4375,8
432,1.333333333,432,432,9.018858433,698.4375,8
433,0.666666667,433,433,12.21724709,698.4375,4
434,1.166666667,434,434,5.54890119,698.4375,7
435,0.333333333,435,435,12.00780507,698.4375,2
436.001,0.333333333,436,436,18.87988947,698.0494792,2
437,1.333333333,437,437,7.011331012,698.4375,8
438,1,438,438,6.656475603,698.4375,6
439,0.333333333,439,439,11.00317662,698.4375,2
440.001,0.5,440,440,17.97144338,698.4375,3
441,0.333333333,441,441,13.01367347,698.4375,2
442,0.833333333,442,442,9.998682174,698.4375,5
443,1,443,443,10.00945994,698.8255208,6
444,0.5,444,444,16.99095571,698.4375,3
445.001,0.833333333,445,445,15.00567064,698.4375,5
446.001,0.5,446,446,11.10626138,698.4375,3
447.001,0.5,447,447,15.54673365,698.4375,3
448.001,0.333333333,448,448,12.00939856,698.4375,2
449,0.333333333,449,449,7.996435189,698.4375,2
450,1.166666667,450,450,17.77491602,698.4375,7
451.001,0.666666667,451,451,17.99445771,698.4375,4
452.001,0.5,452,452,13.00062403,697.6614583,3
453,0.333333333,453,453,7.998725003,698.4375,2
454.001,0.833333333,454,454,14.00281597,698.4375,5
455.001,0.333333333,455,455,13.01463887,698.4375,2
456,1,456,456,8.994164586,698.4375,6
457.001,0.5,457,457,7.996539098,698.4375,3
458,0.666666667,458,458,11.01131192,698.4375,4
459,0,459,459,14.99592261,698.4375,0
459.999,0.5,460,460,12.00873876,698.4375,3
461,1,461,461,17.7659279,698.4375,6
462,0.833333333,462,462,9.983987902,698.4375,5
463,0.5,463,463,14.01221304,698.4375,3
464,0.333333333,464,464,9.99595386,698.4375,2
465,0.833333333,465,465,8.009378983,698.4375,5
466,1,466,466,7.765726234,698.4375,6
467.001,0.666666667,467,467,16.01444663,698.8255208,4
468,0.666666667,468,468,9.991128877,698.4375,4
469.001,0.833333333,469,469,17.03425589,698.8255208,5
470.001,0.5,470,470,9.982992309,698.4375,3
471,0.333333333,471,471,6.001466758,698.4375,2
472,0.666666667,472,472,8.982872357,698.4375,4
473,0.833333333,473,473,15.02219228,698.4375,5
474,0.666666667,474,474,12.20765036,698.4375,4
475.001,1.166666667,475,475,7.012696487,698.4375,7
476,0.5,476,476,15.53691643,698.4375,3
477,0.333333333,477,477,12.00984086,698.0494792,2
478,0.666666667,478,478,18.87745964,698.4375,4
479,0.333333333,479,479,11.01382014,698.4375,2
480,1.166666667,480,480,13.32205695,698.4375,7
481.001,1.166666667,481,481,13.31728157,698.4375,7
482,0.833333333,482,482,12.22183927,698.4375,5
483.001,0.833333333,483,483,11.00493351,698.4375,5
484,0.5,484,484,11.99611806,698.4375,3
485,0.5,485,485,19.02078211,698.4375,3
486.001,0.833333333,486,486,14.42401683,698.4375,5
487.001,0.833333333,487,487,9.006522524,698.4375,5
488.001,0.833333333,488,488,14.42828637,698.4375,5
489.001,1.166666667,489,489,4.004475402,698.4375,7
490.001,1.333333333,490,490,17.77262964,698.4375,8
491,0.666666667,491,491,13.3318372,698.4375,4
492.001,0.666666667,492,492,8.9967144,698.4375,4
492.999,0.5,493,493,15.02312811,698.0494792,3
494.001,1.166666667,494,494,8.883024119,698.0494792,7
495.001,1.333333333,495,495,13.31521133,698.0494792,8
496.001,0.5,496,496,12.00665169,698.4375,3
497.001,1,497,497,8.000218406,698.4375,6
498.001,0.833333333,498,498,8.001204181,698.4375,5
499,1,499,499,9.994696814,699.2135417,6
500.001,1.666666667,500,500,15.01119835,698.4375,10
501,0.5,501,501,14.43879727,698.4375,3
502.001,0.833333333,502,502,19.98050347,698.4375,5
503.001,0.666666667,503,503,12.01599208,698.4375,4
504,1.166666667,504,504,7.772186985,698.4375,7
505,1.833333333,505,505,6.0000492,698.4375,11
506,1.333333333,506,506,15.00725301,698.4375,8
507.001,1.166666667,507,507,11.10056311,698.4375,7
508,0.5,508,508,13.01366304,698.4375,3
509,0.166666667,509,509,14.98581742,698.4375,1
510,1.166666667,510,510,6.997139569,698.4375,7
511.001,1.333333333,511,511,10.02451294,698.4375,8
512.001,0.666666667,512,512,7.769435131,698.0494792,4
513.001,1.166666667,513,513,5.551022221,698.4375,7
514,0.5,514,514,6.999518433,698.4375,3
515,0.833333333,515,515,20.02487289,698.4375,5
516.001,1.166666667,516,516,13.31869756,698.4375,7
517,1.5,517,517,11.10065553,698.4375,9
518,1.666666667,518,518,15.54809592,698.4375,10
519,1.5,519,519,16.65364352,698.4375,9
520,1.166666667,520,520,12.02162932,699.9895833,7
521.001,1.166666667,521,521,15.54381479,698.4375,7
522,0.666666667,522,522,9.995175662,698.4375,4
523.001,1.5,523,523,14.02775532,698.4375,9
524.001,1.666666667,524,524,14.43544795,698.4375,10
525,1,525,525,18.85477013,698.4375,6
526,1.666666667,526,526,14.02192609,698.4375,10
527.001,1,527,527,8.878294125,698.4375,6
528.001,0.5,528,528,4.441625,698.4375,3
529.001,1.333333333,529,529,11.10550037,698.4375,8
530,0.5,530,530,13.31952395,698.4375,3
531.001,0.5,531,531,9.00496714,698.4375,3
532,1.333333333,532,532,9.00357622,698.4375,8
533,1,533,533,11.10326604,698.4375,6
534,0.833333333,534,534,14.01857882,698.4375,5
535,2,535,535,9.98094416,698.4375,12
536,1.5,536,536,12.0002304,698.4375,9
